SECID,ISIN,SHORTNAME,RATING,RATING_SCORE,YEARS_TO_MATURITY,MATDATE,FACEVALUE,LASTPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,ACCRUEDINT,COUPONPERCENT,YTM_PCT,CURRENT_YIELD_PCT
BYM000001818,BYM000001818,РесБел 331,Нет ISIN,,1.17,2027-06-29,1000,100.3076,1003.08,1027.52,24.44,7.625,7.51,7.6
BYM000001925,BYM000001925,РесБел 335,Нет ISIN,,4.83,2031-02-24,1000,103.2995,1032.99,1053.43,20.44,6.378,5.71,6.17
BYM000001941,BYM000001941,РесБел 336,Нет ISIN,,3.84,2030-02-28,1000,100.7599,1007.6,1027.47,19.87,6.2,6.06,6.15
BYM000002154,BYM000002154,РесБел 340,Нет ISIN,,1.17,2027-06-29,1000,102.4781,1024.78,1049.22,24.44,7.625,5.47,7.44
BYM000002410,BYM000002410,РесБел 344,Нет ISIN,,4.83,2031-02-24,1000,103.2,1032.0,1052.44,20.44,6.378,5.69,6.18
BYM000002469,BYM000002469,РесБел 346,Нет ISIN,,3.84,2030-02-28,1000,102,1020.0,1039.87,19.87,6.2,5.69,6.08
RU000A0JQAM6,RU000A0JQAM6,ДОМ.РФ15об,AAA,0.0,2.39,2028-09-15,1000,107,1070.0,1127.7,57.7,18.0,11.7,16.82
RU000A0JR4U9,RU000A0JR4U9,ГлДорога 3,A,5.0,2.51,2028-10-30,375,95.87,359.51,372.42,12.91,10.74,14.76,11.2
RU000A0JRJB8,RU000A0JRJB8,ЗСД 01,AA+,1.0,5.04,2031-05-13,1000,104.53,1045.3,1078.77,33.47,10.44,9.51,9.99
RU000A0JRJL7,RU000A0JRJL7,ЗСД 02,AA+,1.0,5.04,2031-05-13,1000,115.29,1152.9,1186.37,33.47,10.44,6.92,9.06
RU000A0JRU20,RU000A0JRU20,СЗКК 03,Нет данных,,5.42,2031-09-26,567,92.92,526.86,543.05,16.19,8.91,12.1,9.59
RU000A0JRU46,RU000A0JRU46,СЗКК 04,Нет данных,,5.42,2031-09-26,567,89.9,509.73,525.92,16.19,8.91,13.49,9.91
RU000A0JS4J1,RU000A0JS4J1,ЗСД 03,AA+,1.0,5.78,2032-02-06,1000,115.01,1150.1,1181.64,31.54,9.84,6.78,8.56
RU000A0JS4K9,RU000A0JS4K9,ЗСД 04,AA+,1.0,5.78,2032-02-06,1000,99.04,990.4,1021.94,31.54,9.84,10.31,9.94
RU000A0JS4L7,RU000A0JS4L7,ЗСД 05,AA+,1.0,5.78,2032-02-06,1000,115.43,1154.3,1185.84,31.54,9.84,6.69,8.52
RU000A0JS4Z7,RU000A0JS4Z7,ВЭБ.РФ 21,AAA,0.0,5.81,2032-02-17,1000,108.68,1086.8,1148.18,61.38,19.15,12.2,17.62
RU000A0JS9X1,RU000A0JS9X1,СитиматНН,Нет данных,,10.65,2036-12-20,1000,,,,0.0,,0.0,
